年分,標題
2025,"Chin-Cheng Wu, Cheng-Wei Tsai, Fei-En Wu, Chi-Hsuan Chiang, Jin-Chern Chiou (2025, Jan). Plantar Pressure-Based Gait Recognition with and Without Carried Object by Convolutional Neural Network-Autoencoder Architecture. Biomimetics, 10(2), 79; https://doi.org/10.3390/biomimetics10020079. NSTC 113-2321-B-037-008. 本人為通訊作者."
2024,"Cheng-Wei Tsai, Guan-Ting Yeh, Shun-Hsi Hsu, Shin-Ho Wu, Yu-Hsuan Huang, Herming Chiueh, Jin-Chern Chiou (2024, Jan). The Heterogeneous Packaging of A 3×3 Mini-LED Array for Smart Contact Lens Display Applications. IEEJ Transactions on Electrical and Electronic Engineering, 19(5) DOI: 10.1002/tee.24007. NSTC 112-2221-E-A49-144. 本人為通訊作者."
2024,"Cheng-Wei Tsai, Shun-Hsi Hsu, Yu-Chieh Huang, Guan-Ting Yeh, Yu-Hsuan Huang, Cheng-Yu Hsu, Chun-Yu Wu, Jhu-Jyun Yang, Xuan-Wei Zhang, Jin-Chern Chiou (2024, Jan). A Semi- Passive Smart Contact Lens with On-lens Power Storage Element. IEEJ Transactions on Electrical and Electronic Engineering, 19(5) DOI: 10.1002/tee.23999. NSTC 112-2221-E-A49-144. "
2024,"Jin-Chern Chiou, Chin-Cheng Wu, Tse-Mei Lin, Yu-Chieh Huang (2024, Jan). Dielectrophoretically Assembled SWCNTs Networks on SU-8 Substrate for PEG/SWCNTs Composite Gas Sensor. Polymers, 16(1), 74; DOI: 10.3390/polym16010074. (SCI). NSTC 112-2321-B-037-006. 本人為第一作者."
2021,"Jin-Chern Chiou, Tzu-Sen Yang (2021, Jul). Self-healing digital-to-analogue converter architecture for communication equipment with ordered element- matching technology. IET Engineering, 2021(10), pp559-568. MOST 109-2221- E-009-071-MY3. 本人為第一作者、通訊作者."
2021,"Yung-Jhe Yan, Nai-Lun Cheng, Chia-Ing Jan, Ming-Hsui Tsai, Jin-Chern Chiou and Mang Ou-Yang (2021, May). Band-Selection of a Portal LED-Induced Autofluorescence Multispectral Imager to Improve Oral Cancer Detection. SENSORS, 2021, 21, 3219."
2020,"Tzu-Sen Yang and Jin-Chern Chiou (2020, Sep). A High-Efficiency Driver Circuit for a Gas-Sensor Microheater Based on a Switch-Mode DC-to-DC Converter. SENSORS, vol.20,no.18, 5367-5378. 本人為通訊作者."
2019,"Jin-Chern Chiou, Chin-Cheng Wu, and Tse-Mei Lin (2019, Mar). Sensitivity Enhancement of Acetone Gas Sensor using Polyethylene Glycol/Multi-Walled Carbon Nanotubes Composite Sensing Film with Thermal Treatment. Polymers, vol.11 , no.3, pp.423. 本人為第一作者."
2017,"Y.-C. Huang, P.-T. Huang, S.-L. Wu, Y.-C. Hu, Y.-H. You, J.-M. Chen, Y.-Y. Huang, H.-C. Chang, Y.-H. Lin, J.-R. Duann, T.-W. Chiu, W. Hwang, K.-N. Chen, C.-T. Chuang, and J.-C. Chiou. An Ultra-High-Density 256-channel Neural Sensing Microsystem using TSV-embedded Neural Probes. IEEE Transactions on Biomedical Circuits and Systems (TBCAS), 2017. (SCI, IF: 2.018, Ranking: 69/257(26.85%))"
2017,"Y.-C. Hu, Y.-C. Huang, P.-T. Huang, S.-L. Wu, H.-C. Chang, Y.-T. Yang, Y.-H. You, J.-M. Chen, Y.-Y. Huang, Y.-H. Lin, J.-R. Duann, T.-W. Chiu, W. Hwang, C.-T. Chuang, J.-C. Chiou, and K.-N. Chen, “An Advanced 2.5-D Heterogeneous Integration Packaging for High-Density Neural Sensing Microsystem,” IEEE Transactions on Electron Devices, vol.64, no. 4, pp. 1666-1673, 2017. (SCI, IF: 2.207,Ranking: 57/257 (22.17%))"
