年,主辦單位,獎項名稱,獲獎主題,圖片
2024,國科會工程處,113年度產學合作計畫成果發表暨績效考評會-產學成果簡報組優良獎,全身生理、足壓資電整合系統之開發,images/13.jpg
2024,國立成功大學敏求智慧運算學院,第二屆「智慧運算創新應用」專題實作競賽 健康運算組佳作獎,三合一生理與步態整合紀錄系統,
2023,"國立彰化師範大學彰化縣產學精進協會","全國大專院校產學創新實作競賽 資訊與電子組 最佳創新獎",三合一生理與步態整合紀錄系統,images/12.jpg
2021,中央研究院及美國國家醫學院(NAM),Healthy Longevity Grand Challenge Competition 健康長壽大挑戰計畫,用於早期檢測肌少症的新型TtT 篩檢系統,images/11.jpg
2020,財團法人旺宏教育基金會,旺宏金矽獎 應用組最佳創意獎,應用於青光眼照護之智慧型隱形眼鏡,
2020,財團法人旺宏教育基金會,旺宏金矽獎 應用組金獎,應用於青光眼照護之智慧型隱形眼鏡,images/10.jpg
2019,經濟部工業局,聯網未來挑戰賽 優良獎,應用於青光眼之智慧型隱形眼鏡,
2019,科技部,未來科技突破獎,乾眼症診斷之智慧隱形眼鏡系統開發與臨床前研究,images/09.jpg
2019,財團法人時代基金會,國家新創獎2019年度新創精進獎,長時間無限眼壓監測裝置開發與臨床前試驗,
2018,"2018 ICSS,23rdSACST,21stNMC",Royal Society of Chemistry Award,基於聚合物/多壁奈米碳管之氣體感測器系統設計、製作與驗證,images/08.jpg
2018,"2018ICSS,23rdSACST,21stNMC",Best Conference Paper Award,溫度對於加熱式高分子/多壁奈米碳管複合材料氣體感測器之影響探討,images/07.jpg
2018,"2018ICSS,23rdSACST,21stNMC",Royal Society of Chemistry Award,"Design, Realization and Test of Tungsten Heater Based on Bulk CMOS",images/06.jpg
2018,2018 International Conference on Smart Sensors,Best Paper Award,RSC Analyst and Analytical Methods,images/05.jpg
2017,2017 Symposia on VLSI Technology and Circuits頂尖國際會議,Highlight Paper & Best Demo Paper Award,"Towards A Fully Intergrated, Wirelessly Powered, and Ordinarily Equipped On-Lens System for Successive Dry Eye Syndrome Diagnosis",images/04.jpg
2017,資訊月活動委員會,百大創新產品獎,應用於乾眼症診斷之智慧隱形眼鏡系統,images/03.jpg
2016,財團法人時代基金會,台灣生醫暨新農業產業選秀大賽 生醫組潛力新秀獎,可長時間監測眼壓之智慧隱形眼鏡輔助裝置,
2016,財團法人旺宏教育基金會,第16屆旺宏金矽獎半導體設計與應用大賽設計組優勝獎,超高解析度腦神經電訊號感測系統,
2016,2016 Symposia on VLSI Technology and Circuits頂尖國際會議,Accepted for presentation as a regular paper,"Integration of Neural Sensing Microsystem with TSV-embedded Dissolvable μ-Needles Array, Biocompatible Flexible Interposer, and Neural Recording Circuits",
2016,科技部,105年度傑出技術移轉貢獻獎,微晶片式眼壓感測器設計與其相關技術,images/02.jpg
2016,第27屆超大型積體電路設計暨計算機輔助設計技術研討會,大會特色論文獎,A Wirelessly-Powered RFID-Based On-lens Intraocular Monitoring System,images/01.jpg
2015,社團法人國家生技醫療產業策進會,第12屆國家新創獎：學研新創獎,長時無線眼壓監測裝置開發與臨床前試驗,
2015,科技部,指導大專學生研究計畫103年度研究創作獎,腦控樂高曲棍球賽,
2014,財團法人國家實驗研究院國家晶片系統設計中心,2014 CIC晶片製作佳作設計獎,2.5D Heterogeneously IntegratedBio-Sensing Microsystem for Multi-Channel Neural Sensing Applications,
2014,科技部,智慧電子國家型科技計畫103年度科技部前瞻學術研究計畫 優等獎,「前瞻型長時間眼壓監測系統及臨床研究開發」計畫,
2014,2014 IEEE International Solid-State Circuits Conference (ISSCC)頂尖國際會議,Accepted for presentation as a regular paper,2.5D Heterogeneously Integrated Bio-Sensing Microsystem for Multi-Channel Neural Sensing Applications,
2014,衛生福利部 卓越臨床試驗中心,醫療器材頂尖研究獎,,
2014,國立交通大學,國立交通大學延攬及留住特殊優秀人才彈性薪資暨獎勵補助支應原則,,
2013,社團法人國家生技醫療產業策進會,第10屆國家新創獎,應用於輔助癌症診斷之創新超光譜影像系統與技術,
2013,2013 IEEE International Solid-State Circuits Conference (ISSCC)頂尖國際會議,ISSCC 2013 Distinguished-Technical-Paper Award & ISSCC 2013 Demonstration Session Certificate of Recognition,Through-Silicon-Via Based Double-Side Integrated Microsystem for Neural Sensing Applications,
2013,2013 IEEE International Solid-State Circuits Conference (ISSCC)頂尖國際會議,ISSCC 2013 Distinguished-Technical-Paper Award & ISSCC 2013 Demonstration Session Certificate of Recognition,A fully-integrated 8-channel closed-loop neural prosthetic SoC for real-time epileptic seizure control,
2013,2013 IEEE Sensors,Student Best Paper Award,A Contact Lens Sensor System with a Micro-Capacitor for Wireless Intraocular Pressure Monitoring,
2012,財團法人旺宏教育基金會,第12屆旺宏金矽獎半導體設計與應用大賽應用組優勝獎,使用腦電訊號之神經復健系統,
2011,國科會,國科會整合型計畫「績優計畫獎」,智慧型仿生系統之晶片系統平台技術開發-子計畫一：三維電極感測陣列之研發(3/3),
2009,財團法人國家實驗研究院國家晶片系統設計中心,2009 CIC晶片製作成果發表會優良設計獎,適用於CMOS操作電壓的光項為轉移器之研究,
2009,中國工程師學會,98年度『傑出工程教授獎』,,
2009,交通大學,交通大學傑出人士榮譽獎勵,,
2008,財團法人國家實驗研究院國家晶片系統研究中心,2008晶片製作成果發表會佳作設計獎,低電壓靜電驅動微震盪器,
2008,財團法人國家實驗研究院國家晶片系統設計中心,2008 CIC晶片製作成果發表會 優良設計獎,大行程之梳狀致動器,
2008,交通大學,國立交通大學績效特優導師獎,,
2008,國立交通大學,2008年交大傑出人士榮譽獎勵,,
2008,The 20th Annual ASME Information Storage and Processing Systems Conference,Best Paper Award,A CMOS-MEMS Frequency Adaptive Micro-Resonator with Multiple Comb-Drive Electrodes,
2007,財團法人國家實驗研究院國家晶片系統設計中心,2007 CIC晶片製作成果發表會 優良設計獎,垂直式靜電驅動微震盪器,
