#,標題
1,"邱俊誠、林永峻、張志瑋、蔡尚瑋、謝禮忠、吳順德, “生醫應用微型感測器與模組之研究與發展,”電子月刊, 2008年1月號150期, pp. 121-135"
2,"邱俊誠、郭秦輔,、林育成、曾致豪、曾繁根, “覆晶封裝技術於微機電系統之應用,”電子月刊, 2005年11月號124期, pp. 160-168. 微機電式光學讀取頭"
3,"邱一、邱俊誠, “微機電式光學讀取頭,”電子月刊2005年6月號119期"
4,"邱俊誠 、林育成, “以微機電技術設計製作應用於光置入擷取多工器之光切換元件,” 電子月刊2004年1月號107期"
5,"楊昭中、柯春旭、戴志銘、林景崎、邱俊誠, “電磁式平面微電感的製作及應用”, 科儀新知第二十四卷一期 (129 期), 中華民國九十一年八月, pp. 5-12."
6,"林煒挺、周正三、邱俊誠,“微型光學調頻元件及其應用驅勢”,光訊, 第九十四期, 中華民國九十一年, pp7-10, 2002."
7,"邱俊誠、林育成、張伊甄、林永峻,“應用光微機電技術發展之微鏡面系統(上)”, 光訊, 第四十九期, 中華民國九十一年, pp11-15, 2002."
8,"邱俊誠、林育成、張伊甄、林永峻,“應用光微機電技術發展之微鏡面系統(下)”, 光訊, 第五十期, 中華民國九十一年, pp32-36, 2002."
9,"邱俊誠、林育成,“以熱致動器為主之微系統應用,”微系統科技協會季刊,第二期, 中華民國八十九年十月, pp. 69-76."
10,"邱俊誠, “次世代數位影音多用途光碟系統之光機電整合研究-主走軸馬達伺服控制,” 工程科技通訊-電機, 第四十八期, 中華民國八十九年六月, pp. 75-78."
11,"邱俊誠, “光碟機系統跨軌漏數補償法之研究,” 工程科技通訊-電機, 第三十八期, 中華民國八十八年六月, pp. 17-19."
12,"邱俊誠、高崇洋, “堆高機傾覆預警裝置細部設計及分析,”勞工安全衛生研究季刊,中華民國八十七年九月,第六卷,第三期, pp.1-13."
13,"邱俊誠, 余志誠, 林育成, 陳世洲, “三層多晶矽電熱式微致動器及微滑桿致動系統之製作分析與研究,” 機械工業雜誌, 87年8月號, p.128-137."
14,"邱俊誠, “高倍速多媒體光碟機與次世代影音光碟系統之伺服控制系統之研究,” 工程科技通訊-電機, 第三十一期, 中華民國八十七年六月, pp. 106-109."
